x,y,L_track,R_track
17.65647931,-3.237203385,1.5,1.5
17.59860075,-3.38581088,1.5,1.5
17.53813386,-3.533384154,1.5,1.5
17.47509712,-3.679878129,1.5,1.5
17.40950978,-3.825248057,1.5,1.5
17.34139187,-3.969449534,1.5,1.5
17.2707642,-4.112438513,1.5,1.5
17.19764835,-4.254171316,1.5,1.5
17.12206665,-4.394604651,1.5,1.5
17.04404218,-4.53369562,1.5,1.5
16.96359878,-4.671401737,1.5,1.5
16.88076102,-4.80768094,1.5,1.5
16.7955542,-4.9424916,1.5,1.5
16.70800436,-5.075792538,1.5,1.5
16.61813823,-5.207543038,1.5,1.5
16.52598326,-5.337702853,1.5,1.5
16.43156761,-5.466232228,1.5,1.5
16.33492011,-5.5930919,1.5,1.5
16.23607029,-5.718243119,1.5,1.5
16.13504833,-5.841647659,1.5,1.5
16.03188511,-5.963267822,1.5,1.5
15.92661212,-6.083066461,1.5,1.5
15.81926153,-6.20100698,1.5,1.5
15.70986613,-6.317053355,1.5,1.5
15.59845933,-6.431170139,1.5,1.5
15.48507516,-6.543322473,1.5,1.5
15.36974826,-6.653476099,1.5,1.5
15.25251385,-6.761597371,1.5,1.5
15.13340775,-6.867653261,1.5,1.5
15.01246633,-6.971611375,1.5,1.5
14.88972655,-7.073439958,1.5,1.5
14.76522588,-7.173107905,1.5,1.5
14.63900237,-7.270584771,1.5,1.5
14.51109456,-7.365840783,1.5,1.5
14.38154152,-7.458846842,1.5,1.5
14.25038284,-7.549574541,1.5,1.5
14.11765857,-7.637996164,1.5,1.5
13.98340925,-7.724084704,1.5,1.5
13.8476759,-7.807813864,1.5,1.5
13.71049997,-7.889158068,1.5,1.5
13.57192336,-7.968092469,1.5,1.5
13.43198841,-8.044592956,1.5,1.5
13.29073786,-8.118636161,1.5,1.5
13.14821485,-8.190199467,1.5,1.5
13.00446291,-8.259261015,1.5,1.5
12.85952597,-8.325799709,1.5,1.5
12.71344829,-8.389795224,1.5,1.5
