x,y,curvature,max_speed
2.299726799343711647e+01,6.879512224783667307e+00,1.452586315979861875e-01,1.299372089023273524e+01
2.292723176921726846e+01,6.587801876497859865e+00,1.675287474358514439e-01,1.209928863896064222e+01
2.284230550624619482e+01,6.300073654285007763e+00,1.712591646908542820e-01,1.196678800107260443e+01
2.276193179391436416e+01,6.011040669374979828e+00,5.262037700749786634e-02,2.158875164912583955e+01
2.264479611494201095e+01,5.734853716910374821e+00,4.326865173879966830e-01,7.528662464474451532e+00
2.249308563130857763e+01,5.476041180205311498e+00,4.299422069025151116e-01,7.552651877671258340e+00
2.234542415257536518e+01,5.214897373657422897e+00,5.191310375055013804e-02,2.173531859945674327e+01
2.219169896396358155e+01,4.957276399382672949e+00,7.791965212438695110e-02,1.774111886044099151e+01
2.202760836806270461e+01,4.706130473003415027e+00,1.357957405456795830e-01,1.343882919350561345e+01
2.185646733586601087e+01,4.459734963509734307e+00,9.446085644849840091e-02,1.611308019491449883e+01
2.167380589923656231e+01,4.221754292932342167e+00,1.585151907980410502e-01,1.243853017699558627e+01
2.148466440053150350e+01,3.988890612922761481e+00,9.174225635910614185e-02,1.635007689202336678e+01
2.129237808065508020e+01,3.758616925349948179e+00,4.526732806828977912e-02,2.327619986332995339e+01
2.109493858247948239e+01,3.532746067202713114e+00,7.531018452393559159e-02,1.804586284178098410e+01
2.088982894866902740e+01,3.313816767842987510e+00,1.149429375645905776e-01,1.460707845856344100e+01
2.067733124039978776e+01,3.102051038839636732e+00,1.143421249505516130e-01,1.464540474741746401e+01
2.046036031103874819e+01,2.894870885803186855e+00,7.117810549447926849e-02,1.856227898950645994e+01
2.016960475327710611e+01,2.820970915365323961e+00,1.692677711432741372e+00,3.806425816342084545e+00
1.990838044834501019e+01,2.673451891125251390e+00,8.813471714338554364e-01,5.275103686959083049e+00
1.966887356531746889e+01,2.492796271277898157e+00,4.402132455505514130e-01,7.464022760969140080e+00
1.944153679091639830e+01,2.297046453896331997e+00,2.154370645638523374e-01,1.066950562075274078e+01
1.922168993163366579e+01,2.092920614122139700e+00,1.248488367971826857e-01,1.401561818249076730e+01
1.901760729665736349e+01,1.873033647475341734e+00,2.476865522842056078e-01,9.950692232669821280e+00
1.880520359601999658e+01,1.661173627755829107e+00,1.284629027054112471e-01,1.381705996956572235e+01
1.859135381134032627e+01,1.450773367317637508e+00,2.283071414210856298e-02,3.277515542299580886e+01
1.838056424679727385e+01,1.237307305659699708e+00,4.813058933830499653e-02,2.257324100047696902e+01
1.816956137860415055e+01,1.024052083884767983e+00,3.332442538423044560e-03,4.700000000000000000e+01
1.795308595519689732e+01,8.163542479291396869e-01,8.666196405790635438e-02,1.682248866389269182e+01
1.774323947557141068e+01,6.019610227824695459e-01,1.046871483153491295e-01,1.530586305033174810e+01
1.754049977885840406e+01,3.808352319377154016e-01,1.087719350628322118e-01,1.501571721015058358e+01
1.734075554004948572e+01,1.569999374405198767e-01,4.487868159242772159e-02,2.337676779635581426e+01
1.714534889036807996e+01,-7.063187329842054996e-02,6.404879988730381724e-02,1.956811579886710462e+01
1.695351095906728389e+01,-3.012792407540914041e-01,5.191319106332835387e-02,2.173530032113661647e+01
1.675937260185419930e+01,-5.299936877367970034e-01,3.338540549946088926e-02,2.710355013290918436e+01
1.657790138056852669e+01,-7.688831932515558520e-01,1.805301345298968019e-01,1.165546635685727495e+01
1.640480922148773146e+01,-1.013911976182762409e+00,1.154162678850987334e-01,1.457709535261968092e+01
1.623905463763759727e+01,-1.263962806880581047e+00,9.879582014687611491e-02,1.575561001675020734e+01
1.607998405938018394e+01,-1.518317974181842001e+00,8.833385349898005556e-02,1.666252905488843794e+01
1.593015572203749031e+01,-1.778224629212304730e+00,1.197930484665006151e-01,1.430832181771247846e+01
1.578587469579503022e+01,-2.041251216207655261e+00,7.071647083902624087e-02,1.862276738849644175e+01
1.564820964699307559e+01,-2.307800150436166930e+00,8.328004779660858059e-02,1.716066151428326592e+01
1.548595019061449918e+01,-2.560133003659303075e+00,3.156380649556515539e-01,8.814746394520627248e+00
1.534311531603086287e+01,-2.823947708713204552e+00,2.507143619349960217e-01,9.890423806980875199e+00
1.521651628060937789e+01,-3.095926906870618112e+00,2.019232897177076491e-01,1.102075382452911434e+01
1.510165783947519991e+01,-3.373068636857689206e+00,1.425054857559366062e-01,1.311863704647013229e+01
1.499710366731646083e+01,-3.654259719725195588e+00,1.230152142896211859e-01,1.411968780438312265e+01
1.491707009447659971e+01,-3.943387074395221070e+00,2.863659493087772900e-01,9.254305236767322640e+00
1.483736496139436056e+01,-4.232605143955790794e+00,3.785969316435488195e-03,4.700000000000000000e+01
1.476304379811621459e+01,-4.523253324216709004e+00,6.189631659663432511e-02,1.990545482765513441e+01
1.469674253187928592e+01,-4.815835179592909299e+00,9.166353395526136150e-02,1.635709626531602723e+01
1.463712612542104985e+01,-5.109851988773960407e+00,7.596818915393903360e-02,1.796754002096668401e+01
1.458646977212857543e+01,-5.405544284701852220e+00,1.012817903588364710e-01,1.556104731174028188e+01
1.465505256712135917e+01,-5.697599759279847298e+00,1.325495525944668795e+00,4.301454911748683330e+00
1.468033850090808379e+01,-5.996532229166498418e+00,4.871067587462523107e-01,7.095654001170481173e+00
1.467267713349381708e+01,-6.296434385626474395e+00,3.662396416567779145e-01,8.183174887216322801e+00
1.465931934043445750e+01,-6.596136853692026847e+00,6.333249569135190882e-02,1.967846446597976851e+01
1.465144615927760796e+01,-6.896033524261193648e+00,6.097832273571993783e-02,2.005472775483699621e+01
1.464818620718958542e+01,-7.196015811592268996e+00,5.126692755244830618e-02,2.187186731698209385e+01
1.465231350245197994e+01,-7.495987419305094157e+00,8.208061188973016231e-02,1.728559030574851363e+01
1.466588016637466119e+01,-7.795680505027819507e+00,1.049275206657190040e-01,1.528832134281765676e+01
1.471995764398943329e+01,-8.090766300034667680e+00,4.530218365728477803e-01,7.357748516658205062e+00
1.476205869961289174e+01,-8.387797445060556356e+00,1.348154066783309180e-01,1.348760209032087865e+01
1.479620087393636396e+01,-8.685848299668400330e+00,8.915487923392449721e-02,1.658562913250839443e+01
1.482875745388522581e+01,-8.984076516143691293e+00,1.772759149861275960e-02,3.719457838907177916e+01
1.486218564507496076e+01,-9.282208292433610453e+00,9.743670718787659016e-03,4.700000000000000000e+01
1.490799253344066422e+01,-9.578690549876196059e+00,1.387568511052948150e-01,1.329466168843784679e+01
